,price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
35,190.0,212.5,4.0,3500.0,1702,0.0,5.247024,5.358942,8.160519,7.439559
36,360.0,452.4,4.0,10892.0,2750,1.0,5.8861040000000004,6.114567,9.295784,7.919356
37,575.0,518.1,5.0,15634.0,3880,1.0,6.354369999999999,6.250168,9.657204,8.263591
38,209.00099999999998,289.4,4.0,6400.0,1854,1.0,5.342339,5.66781,8.764053,7.525100999999999
39,225.0,,,,1421,,,,9.091557,
40,246.0,278.5,3.0,6314.0,1662,1.0,5.505332,5.629418,8.750525,7.415777
41,713.5,655.4,5.0,28231.0,3331,1.0,6.570182000000001,6.485246,10.24818,8.111028
42,248.0,273.3,4.0,7050.0,1656,1.0,5.513429,5.61057,8.860783,7.412160000000001
43,230.0,,,,1171,,,,8.576406,
44,375.0,354.0,5.0,6637.0,2293,1.0,5.926926,5.869297,8.800415,7.737616
45,265.0,,,,1764,,,,8.966228,
46,313.0,324.0,3.0,1000.0,2768,0.0,5.7462029999999995,5.780744,6.907755,7.92588
47,417.5,475.5,4.0,8112.0,3733,0.0,6.034285,6.1643669999999995,9.0011,8.224967
48,253.0,256.8,3.0,5850.0,1536,1.0,5.53339,5.548297,8.674197,7.336937
49,315.0,279.2,4.0,6660.0,1638,1.0,5.752573,5.631928,8.803875,7.401231
50,264.0,313.9,3.0,6637.0,1972,1.0,5.575949,5.749074,8.800415,7.586803
51,255.0,279.8,2.0,15267.0,1478,0.0,5.541264,5.634075,9.633449,7.298445
52,210.0,198.7,3.0,5146.0,1408,1.0,5.347107,5.291796,8.545975,7.249925999999999
53,180.0,221.5,3.0,6017.0,1812,1.0,5.192957,5.400423,8.702344,7.502186
54,250.0,,,,1722,,,,9.037177,
55,250.0,282.3,4.0,5625.0,1780,1.0,5.521461,5.64297,8.634976,7.484369
56,209.0,230.7,4.0,5600.0,1674,1.0,5.342333999999999,5.441118,8.630522000000001,7.422971
57,258.0,287.0,4.0,6525.0,1850,1.0,5.5529589999999995,5.659482,8.783396,7.522941
58,289.0,298.7,3.0,6060.0,1925,1.0,5.666427,5.69944,8.709465,7.5626809999999995
59,316.0,314.6,4.0,5539.0,2343,0.0,5.755742,5.751302,8.619569,7.759187
60,225.0,291.0,3.0,7566.0,1567,0.0,5.416101,5.673323,8.931419,7.356917999999999
61,266.0,286.4,4.0,5484.0,1664,1.0,5.583496,5.65739,8.609589999999999,7.416980000000001
62,310.0,253.6,6.0,5348.0,1386,1.0,5.736572,5.535758,8.584478,7.234177000000001
63,471.25,482.0,5.0,15834.0,2617,1.0,6.1553889999999996,6.177944,9.669915,7.869783999999999
64,335.0,384.3,4.0,8022.0,2321,1.0,5.8141300000000005,5.951423999999999,8.989944,7.749753
65,495.0,543.6,4.0,11966.0,2638,1.0,6.2045580000000005,6.298213,9.389825,7.877776
66,279.5,336.5,4.0,8460.0,1915,1.0,5.633001999999999,5.818598000000001,9.043104,7.557473
67,380.0,515.1,4.0,15105.0,2589,1.0,5.940171,6.2443610000000005,9.622781,7.859027
68,325.0,437.0,4.0,10859.0,2709,0.0,5.783825,6.0799330000000005,9.292749,7.9043350000000006
69,220.0,263.4,3.0,6300.0,1587,1.0,5.393628,5.573674,8.748305,7.369600999999999
70,215.0,300.4,3.0,11554.0,1694,0.0,5.370638,5.705115,9.354787,7.434848
71,240.0,250.7,3.0,6000.0,1536,1.0,5.480639,5.5242569999999995,8.699514,7.336937
72,725.0,708.6,5.0,31000.0,3662,0.0,6.586172,6.563291,10.34174,8.205765
73,230.0,276.3,3.0,4054.0,1736,1.0,5.438079,5.621487,8.307459,7.459339
74,306.0,388.6,2.0,20700.0,2205,0.0,5.723585,5.962551,9.937889,7.698483
75,425.0,252.5,3.0,5525.0,1502,0.0,6.052089,5.531411,8.617039,7.314553
76,318.0,295.2,4.0,92681.0,1696,1.0,5.762052,5.687653,11.436919999999999,7.436028
77,330.0,359.5,3.0,8178.0,2186,1.0,5.799093,5.884714,9.009203,7.689829
78,246.0,276.2,4.0,5944.0,1928,1.0,5.505332,5.621125,8.690138000000001,7.564239
79,225.0,249.8,3.0,18838.0,1294,0.0,5.416101,5.5206599999999995,9.843632000000001,7.165493
80,111.0,202.4,4.0,4315.0,1535,1.0,4.70953,5.310246,8.369852999999999,7.336286
81,268.125,254.0,3.0,5167.0,1980,1.0,5.591453,5.5373339999999995,8.550048,7.590852000000001
82,244.0,306.8,4.0,7893.0,2090,1.0,5.497168,5.726196,8.973732,7.644919
83,295.0,318.3,3.0,6056.0,1837,1.0,5.686975,5.762994,8.708805,7.515889
84,236.0,259.4,3.0,5828.0,1715,0.0,5.463832,5.558371,8.670428999999999,7.447168
85,202.5,258.1,3.0,6341.0,1574,0.0,5.31074,5.5533470000000005,8.754792,7.361375
86,219.0,232.0,2.0,6362.0,1185,0.0,5.3890720000000005,5.446737000000001,8.758098,7.077497999999999
87,242.0,252.0,4.0,4950.0,1774,1.0,5.488938,5.529429,8.507143,7.480992
