,price,wage,t,lprice,lwage,gprice,gwage,gwage_1,gwage_2,gwage_3,gwage_4,gwage_5,gwage_6,gwage_7,gwage_8,gwage_9,gwage_10,gwage_11,gwage_12,gprice_1,Unnamed: 20
15,94.0,2.42,16.0,4.543295,0.8837674999999999,0.0031967,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0.0010676,
16,94.2,2.45,17.0,4.54542,0.8960880999999999,0.0021253,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0031967,
17,94.7,2.46,18.0,4.550714,0.9001614,0.0052938,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0021253,
18,94.8,2.46,19.0,4.551769,0.9001614,0.0010552,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0052938,
19,94.6,2.46,20.0,4.549657,0.9001614,-0.0021119,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0.0010552,
20,94.8,2.49,21.0,4.551769,0.9122826999999999,0.0021119,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,-0.0021119,
21,94.9,2.5,22.0,4.552824,0.9162908000000001,0.0010543,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0021119,
22,95.1,2.5,23.0,4.5549290000000004,0.9162908000000001,0.0021052,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,0.0010543,
23,95.4,2.5,24.0,4.558079,0.9162908000000001,0.00315,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0021052,
24,95.4,2.51,25.0,4.558079,0.9202826999999999,0,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0.00315,
25,96.0,2.52,26.0,4.564348000000001,0.9242589,0.0062695,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,
26,96.3,2.52,27.0,4.567468,0.9242589,0.0031199,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0062695,
27,96.7,2.54,28.0,4.571613,0.9321640999999999,0.0041451,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0.0031199,
28,96.8,2.55,29.0,4.572647,0.9360933000000001,0.0010338,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0.0041451,
29,97.1,2.56,30.0,4.575741000000001,0.9400072,0.0030942,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0010338,
30,97.4,2.57,31.0,4.578826,0.9439059000000001,0.0030851,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0030942,
31,97.9,2.57,32.0,4.583947,0.9439059000000001,0.0051203,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0.0030851,
32,98.1,2.61,33.0,4.5859879999999995,0.9593502,0.0020409,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0.0051203,
33,98.5,2.61,34.0,4.590056,0.9593502,0.0040689,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0020409,
34,98.5,2.61,35.0,4.590056,0.9593502,0,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040689,
35,98.6,2.6,36.0,4.591071,0.9555114,0.0010147,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,
36,98.6,2.62,37.0,4.591071,0.9631743,0,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0.0010147,
37,98.7,2.63,38.0,4.592085,0.9669839,0.0010138,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0,
38,98.9,2.63,39.0,4.5941089999999996,0.9669839,0.0020242,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0010138,
39,99.1,2.64,40.0,4.596129,0.9707789000000001,0.0020204,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0.0020242,
40,99.4,2.66,41.0,4.599151999999999,0.9783261000000001,0.0030227,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0020204,
41,99.7,2.67,42.0,4.602166,0.9820785,0.0030136,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0030227,
42,100.2,2.69,43.0,4.607168,0.9895412,0.0050025,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0030136,
43,100.5,2.69,44.0,4.610157,0.9895412,0.0029893,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0050025,
44,100.7,2.72,45.0,4.612146,1.000632,0.0019884,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0.0029893,
45,101.0,2.73,46.0,4.61512,1.004302,0.0029745,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0019884,
46,101.3,2.74,47.0,4.618086,1.007958,0.0029659,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0.0029745,
47,101.6,2.73,48.0,4.621044,1.004302,0.0029573,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0.0029659,
48,102.0,2.76,49.0,4.624973000000001,1.015231,0.0039291,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,0.0029573,
49,102.3,2.78,50.0,4.62791,1.022451,0.0029368,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0039291,
50,102.8,2.79,51.0,4.632785,1.026042,0.0048757,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0029368,
51,103.1,2.8,52.0,4.635699,1.029619,0.002914,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0.0048757,
52,103.4,2.83,53.0,4.638605,1.0402770000000001,0.0029058,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.002914,
53,104.0,2.84,54.0,4.644391000000001,1.0438040000000002,0.0057859,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0029058,
54,104.5,2.85,55.0,4.649187,1.047319,0.004796,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0057859,
55,104.8,2.86,56.0,4.652054,1.050822,0.0028667,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.004796,
56,105.1,2.91,57.0,4.654912,1.0681530000000001,0.0028586,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0.0028667,
57,105.7,2.92,58.0,4.660605,1.071584,0.0056925,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0028586,
58,106.1,2.92,59.0,4.664382,1.071584,0.003777,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0056925,
59,106.4,2.93,60.0,4.667206,1.075002,0.0028238,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.003777,
60,106.7,2.94,61.0,4.670021,1.07841,0.0028152,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,0.0028238,
61,107.1,2.96,62.0,4.673763,1.085189,0.0037417,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.0028152,
62,108.0,2.97,63.0,4.682131,1.088562,0.0083685,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0037417,
63,108.7,2.99,64.0,4.688592,1.095273,0.0064607,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0083685,
64,109.0,3.02,65.0,4.6913480000000005,1.105257,0.0027561,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0064607,
65,109.7,3.04,66.0,4.697749,1.111858,0.0064011,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0027561,
66,110.2,3.05,67.0,4.702297,1.115142,0.0045476,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0064011,
67,110.7,3.06,68.0,4.706824,1.118415,0.0045271,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0045476,
68,111.2,3.11,69.0,4.71133,1.134623,0.0045066,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0045271,
69,111.6,3.12,70.0,4.7149209999999995,1.137833,0.0035906,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0045066,
70,112.2,3.13,71.0,4.720283,1.141033,0.005362,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0035906,
71,112.9,3.12,72.0,4.726502,1.137833,0.0062194,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0.005362,
72,113.3,3.13,73.0,4.730039,1.141033,0.0035367,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0062194,
73,113.9,3.15,74.0,4.735321,1.1474030000000002,0.0052819,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0035367,
74,114.5,3.17,75.0,4.740575,1.153732,0.0052538,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0052819,
75,115.2,3.18,76.0,4.74667,1.156881,0.0060949,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0052538,
76,115.7,3.2,77.0,4.751,1.163151,0.0043306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0060949,
77,116.3,3.22,78.0,4.756173,1.169381,0.0051727,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0043306,
78,116.7,3.24,79.0,4.759606,1.175573,0.0034332,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0051727,
79,116.9,3.25,80.0,4.761319,1.178655,0.0017123,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0034332,
80,117.5,3.29,81.0,4.766438,1.190888,0.0051198,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0017123,
81,118.1,3.29,82.0,4.771532,1.190888,0.0050931,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0051198,
82,118.5,3.29,83.0,4.774913,1.190888,0.0033813,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0050931,
83,119.1,3.31,84.0,4.7799629999999995,1.196948,0.0050507,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0033813,
84,119.2,3.34,85.0,4.780803,1.205971,0.0008392,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,0.0050507,
85,119.4,3.36,86.0,4.782479,1.211941,0.0016766,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0008392,
86,119.8,3.38,87.0,4.785824,1.217876,0.0033445,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0016766,
87,120.2,3.4,88.0,4.789157,1.223776,0.0033331,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0033445,
88,120.8,3.43,89.0,4.794137,1.23256,0.0049796,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0033331,
89,121.5,3.45,90.0,4.799914,1.238374,0.0057778,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0049796,
90,121.8,3.46,91.0,4.802381,1.241269,0.0024662,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0057778,
91,122.1,3.48,92.0,4.804841000000001,1.247032,0.00246,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.0024662,
92,122.2,3.52,93.0,4.8056589999999995,1.258461,0.0008183,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.00246,
93,122.4,3.53,94.0,4.807294000000001,1.261298,0.0016356,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0008183,
94,122.6,3.52,95.0,4.808927,1.258461,0.0016327,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0.0016356,
95,123.1,3.55,96.0,4.812997,1.266948,0.0040698,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0.0016327,
96,123.2,3.6,,4.813809,,,0.0139862,,-0.0028368,,0.0114287,,,0.005814,0.0087848,,,0.0059701,0.0090226,0.0040698,
97,123.8,3.61,98.0,4.818667,1.283708,0.0048585,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0008121,
98,124.0,3.62,99.0,4.820282,1.286474,0.0016141,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0048585,
99,124.3,3.65,100.0,4.822698,1.294727,0.0024166,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0016141,
100,124.7,3.67,101.0,4.825911,1.300192,0.0032129,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0024166,
101,125.0,3.67,102.0,4.828314,1.300192,0.0024028,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0032129,
102,125.5,3.69,,4.832306,,,0.0054349,,0.0054644,,0.0027663,,,0.0084866,-0.0028368,,,0.0057636,0.0028944,0.0024028,
103,125.7,3.71,104.0,4.8338980000000005,1.311032,0.0015922,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0039921,
104,126.2,3.77,105.0,4.837868,1.327075,0.0039697,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0015922,
105,126.6,3.79,106.0,4.841033,1.332366,0.0031648,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0039697,
106,126.9,3.78,,4.8434,,,-0.002642,,0.0160431,,0.0054349,,,0.0082532,0.0027663,,,0.0084866,-0.0028368,0.0031648,
107,127.3,3.8,108.0,4.846547,1.335001,0.0031471,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,0.002367,
108,127.7,3.82,109.0,4.849684,1.34025,0.0031371,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0031471,
109,128.6,3.83,110.0,4.856707,1.342865,0.0070233,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0031371,
110,129.8,3.85,111.0,4.865995,1.3480729999999999,0.0092878,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0070233,
111,130.7,3.88,112.0,4.872905,1.3558350000000001,0.0069098,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0092878,
112,131.5,3.9,113.0,4.879007,1.360977,0.0061021,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0069098,
113,132.4,3.92,114.0,4.885828,1.366092,0.0068207,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0061021,
114,132.7,3.95,115.0,4.888091,1.373716,0.0022635,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0.0068207,
115,135.1,3.95,116.0,4.906015,1.373716,0.0179243,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0022635,
116,135.5,4.03,117.0,4.908972,1.393766,0.0029564,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0179243,
117,136.6,4.04,118.0,4.917057,1.3962450000000002,0.0080853,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0029564,
118,137.6,4.05,119.0,4.924351000000001,1.398717,0.0072937,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.0080853,
119,138.5,4.05,120.0,4.930871,1.398717,0.0065198,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,0.0072937,
120,139.7,4.07,121.0,4.939497,1.403643,0.0086269,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0065198,
121,141.5,4.09,122.0,4.9523,1.4085450000000002,0.0128021,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0086269,
122,143.1,4.1,123.0,4.963544000000001,1.410987,0.0112443,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0128021,
123,143.9,4.12,124.0,4.969119,1.415853,0.0055747,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0112443,
124,145.5,4.19,125.0,4.980176,1.432701,0.0110574,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0055747,
125,146.9,4.23,126.0,4.989751999999999,1.442202,0.0095758,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0110574,
126,148.0,4.24,127.0,4.997212,1.4445629999999998,0.0074606,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0095758,
127,149.9,4.27,128.0,5.009968,1.451614,0.0127559,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0074606,
128,151.7,4.37,129.0,5.021905,1.4747629999999998,0.0119367,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0.0127559,
129,153.0,4.38,130.0,5.030437999999999,1.477049,0.008533,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0119367,
130,154.3,4.38,,5.038899,,,0,,0.0231493,,0.0023613,,,0.0048662,0.0024419,,,0,0.0024723,0.008533,
131,155.4,4.4,,5.046002,,,0.0045558,,0.0022857,,0.0070505,,,0.0168476,0.0048662,,,0.0049261,0,0.008461,
132,156.1,4.41,133.0,5.050497,1.483875,0.0044947,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0.0071034,
133,157.2,4.42,134.0,5.057519,1.48614,0.0070219,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0044947,
