,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
33,666,75,129.0,40.0,18.0,8.0,12.0,38,1,0,0.0,0,2,1,18,18,6.50129
34,1779,40,132.0,42.0,17.0,8.0,9.0,32,1,0,0.0,1,1,1,17,14,7.4838070000000005
35,782,40,92.0,24.0,13.0,9.0,10.0,31,1,0,0.0,1,3,3,8,.,6.661855
36,1572,35,108.0,39.0,14.0,7.0,5.0,28,1,1,0.0,1,1,.,12,8,7.360104
37,1274,40,106.0,35.0,13.0,11.0,12.0,31,1,0,0.0,1,0,1,15,12,7.149916999999999
38,714,35,105.0,37.0,16.0,9.0,2.0,29,1,0,0.0,1,1,2,13,12,6.570883
39,1081,40,123.0,46.0,18.0,11.0,7.0,36,1,0,0.0,0,1,1,12,12,6.9856419999999995
40,692,40,108.0,48.0,12.0,21.0,11.0,38,1,0,0.0,1,3,1,8,7,6.539586
41,1318,38,122.0,47.0,17.0,10.0,9.0,33,1,0,0.0,1,1,.,12,8,7.183871000000001
42,1239,45,109.0,44.0,12.0,16.0,4.0,38,1,0,0.0,1,3,3,12,.,7.12206
43,1027,27,100.0,40.0,13.0,12.0,15.0,38,1,0,0.0,1,3,3,10,9,6.934397
44,1748,55,125.0,50.0,18.0,12.0,12.0,34,1,0,0.0,1,1,2,14,15,7.466228
45,981,40,122.0,41.0,14.0,9.0,15.0,35,0,0,0.0,1,3,2,12,.,6.888572999999999
46,770,40,105.0,34.0,17.0,7.0,11.0,30,1,0,0.0,1,3,1,12,12,6.646389999999999
47,1154,50,94.0,37.0,16.0,11.0,5.0,33,1,0,0.0,1,1,.,12,12,7.05099
48,1155,40,102.0,36.0,12.0,16.0,5.0,34,1,0,0.0,1,1,2,12,.,7.051856
49,808,60,109.0,47.0,13.0,14.0,12.0,38,1,0,0.0,1,2,2,12,10,6.6945619999999995
50,1100,40,105.0,45.0,12.0,22.0,14.0,38,1,0,0.0,1,1,1,12,12,7.0030660000000005
51,1154,40,134.0,46.0,18.0,10.0,10.0,37,1,0,1.0,1,2,1,12,12,7.05099
52,1749,40,108.0,32.0,12.0,13.0,9.0,29,0,0,0.0,1,7,1,12,9,7.466799000000001
53,1000,50,104.0,36.0,16.0,11.0,8.0,30,1,0,0.0,1,1,1,12,11,6.907755
54,462,40,112.0,35.0,12.0,11.0,1.0,29,1,0,0.0,1,8,3,12,.,6.135565
55,769,55,120.0,49.0,18.0,8.0,12.0,32,0,0,0.0,1,1,1,11,8,6.645091000000001
56,875,50,124.0,40.0,16.0,9.0,3.0,31,0,0,0.0,0,2,2,17,16,6.774224
57,1375,40,103.0,34.0,12.0,12.0,7.0,29,1,0,0.0,1,4,2,12,10,7.226209
58,1452,45,115.0,45.0,17.0,1.0,7.0,30,1,0,0.0,1,3,1,12,14,7.280697
59,800,40,96.0,33.0,12.0,17.0,12.0,35,1,0,0.0,1,1,2,6,8,6.6846119999999996
60,1748,55,123.0,48.0,17.0,10.0,7.0,36,1,0,0.0,1,1,1,12,12,7.466228
61,1151,40,98.0,34.0,12.0,12.0,12.0,29,1,0,0.0,1,3,4,12,8,7.048387
62,840,50,96.0,34.0,12.0,18.0,13.0,35,1,0,0.0,1,2,1,12,8,6.733402000000001
63,978,45,89.0,47.0,12.0,17.0,2.0,38,1,0,0.0,1,0,1,12,.,6.885509
64,963,40,109.0,43.0,12.0,15.0,15.0,37,0,0,0.0,0,5,.,.,7,6.8700529999999995
65,619,42,93.0,20.0,12.0,10.0,10.0,28,0,0,0.0,1,8,.,9,11,6.428105
66,442,60,82.0,32.0,12.0,12.0,0.0,33,1,0,0.0,1,2,3,12,9,6.09131
67,600,40,120.0,45.0,15.0,12.0,1.0,38,1,0,0.0,0,3,4,12,.,6.39693
68,1366,38,122.0,38.0,12.0,15.0,15.0,32,1,0,0.0,1,1,2,12,.,7.2196419999999994
69,1643,48,117.0,48.0,18.0,8.0,2.0,33,1,0,0.0,1,2,2,12,18,7.404278999999999
70,1455,40,109.0,44.0,16.0,8.0,13.0,36,1,0,0.0,1,1,2,8,8,7.282761
71,2310,40,114.0,55.0,18.0,12.0,7.0,38,1,0,0.0,1,2,.,12,16,7.745003
72,1682,45,126.0,40.0,16.0,10.0,11.0,31,1,0,0.0,1,1,1,12,16,7.427739
73,1235,40,82.0,45.0,12.0,10.0,2.0,33,1,0,0.0,1,1,1,11,11,7.118825999999999
74,855,45,119.0,45.0,16.0,11.0,4.0,32,1,0,0.0,1,3,1,12,9,6.751100999999999
75,1072,42,104.0,37.0,16.0,6.0,8.0,35,1,0,0.0,1,2,2,12,6,6.977282000000001
76,1040,40,115.0,49.0,15.0,8.0,15.0,35,1,0,0.0,1,3,4,.,11,6.946975999999999
77,1000,50,97.0,45.0,12.0,17.0,15.0,36,1,0,0.0,1,1,2,12,12,6.907755
78,675,40,105.0,27.0,15.0,8.0,2.0,31,1,0,0.0,0,3,.,14,12,6.5147129999999995
79,1100,37,100.0,32.0,12.0,14.0,1.0,30,1,0,0.0,1,1,2,7,7,7.0030660000000005
80,996,50,114.0,41.0,12.0,5.0,14.0,31,1,0,0.0,1,2,1,12,10,6.903747
81,732,40,73.0,28.0,10.0,17.0,5.0,36,1,0,0.0,1,5,6,.,.,6.59578
82,1200,40,96.0,48.0,11.0,15.0,3.0,37,1,0,0.0,1,4,3,8,8,7.090077000000001
83,1694,30,113.0,30.0,15.0,9.0,8.0,29,0,0,0.0,1,3,1,12,16,7.434848
84,686,55,106.0,38.0,10.0,15.0,3.0,36,1,0,1.0,1,4,5,14,10,6.5308779999999995
85,754,40,104.0,37.0,13.0,9.0,5.0,32,1,0,0.0,1,1,2,8,.,6.625392
86,857,35,80.0,39.0,10.0,14.0,15.0,33,1,0,0.0,1,2,1,.,12,6.753438
87,832,50,104.0,30.0,13.0,4.0,2.0,30,1,0,0.0,1,1,2,12,8,6.723833
88,579,44,122.0,36.0,13.0,8.0,1.0,30,1,0,0.0,0,4,1,16,16,6.361301999999999
89,672,61,96.0,38.0,12.0,13.0,3.0,34,1,0,0.0,1,2,.,12,13,6.510258
90,2500,40,95.0,51.0,15.0,12.0,9.0,36,1,0,0.0,1,3,1,16,16,7.824046000000001
91,1076,45,105.0,24.0,12.0,5.0,8.0,31,0,0,0.0,1,1,1,16,17,6.981006
92,750,40,94.0,18.0,12.0,16.0,3.0,37,1,1,0.0,1,7,3,8,8,6.620073
93,1186,30,91.0,41.0,17.0,8.0,9.0,33,1,0,0.0,1,1,1,12,14,7.078341
94,833,48,96.0,37.0,16.0,9.0,7.0,31,1,0,0.0,1,4,4,12,14,6.725034
95,650,40,69.0,37.0,12.0,14.0,11.0,30,1,1,0.0,1,3,4,10,9,6.476973
96,1250,46,110.0,37.0,12.0,5.0,16.0,38,1,0,0.0,0,1,1,.,12,7.130899
97,1122,48,111.0,44.0,15.0,12.0,9.0,31,1,0,0.0,1,3,1,9,12,7.022867999999999
98,865,40,110.0,35.0,16.0,1.0,11.0,31,1,0,0.0,1,3,1,9,12,6.76273
99,808,40,97.0,37.0,16.0,10.0,7.0,29,1,0,0.0,1,3,3,9,12,6.6945619999999995
100,1299,60,125.0,44.0,18.0,6.0,12.0,35,0,0,0.0,1,1,2,8,8,7.16935
101,903,40,91.0,39.0,12.0,6.0,12.0,36,1,0,0.0,1,5,4,9,10,6.8057229999999995
102,900,40,86.0,28.0,12.0,17.0,15.0,37,1,0,0.0,1,5,3,8,10,6.802395
103,625,40,110.0,32.0,12.0,18.0,0.0,35,1,0,0.0,1,4,1,9,8,6.437752
104,1586,40,92.0,47.0,14.0,16.0,1.0,36,1,0,1.0,1,4,4,12,.,7.36897
105,962,40,85.0,41.0,10.0,15.0,16.0,38,1,0,0.0,1,1,2,9,12,6.869014
106,1539,45,120.0,36.0,17.0,7.0,8.0,34,1,0,0.0,1,1,1,8,8,7.338888000000001
107,1110,52,106.0,42.0,12.0,11.0,6.0,33,1,0,0.0,0,5,2,12,12,7.012115
108,1282,45,112.0,41.0,16.0,6.0,6.0,31,0,0,1.0,1,2,2,12,12,7.1561770000000005
109,770,48,91.0,39.0,12.0,13.0,2.0,38,1,0,0.0,1,1,2,10,8,6.646389999999999
110,1000,45,90.0,42.0,12.0,16.0,0.0,38,1,0,0.0,1,6,3,10,12,6.907755
111,895,40,86.0,39.0,9.0,17.0,16.0,38,1,1,0.0,0,2,.,.,12,6.796824000000001
112,1205,40,86.0,32.0,10.0,13.0,0.0,32,1,1,0.0,1,5,5,8,.,7.094235
113,750,40,113.0,27.0,12.0,11.0,10.0,29,1,0,0.0,0,1,.,12,12,6.620073
114,654,50,111.0,51.0,13.0,5.0,16.0,38,1,0,0.0,1,3,3,12,9,6.4831080000000005
115,601,48,111.0,30.0,12.0,15.0,3.0,33,1,0,0.0,1,0,1,12,12,6.398594999999999
116,600,40,106.0,32.0,13.0,10.0,11.0,28,1,0,0.0,1,6,.,8,7,6.39693
117,433,40,98.0,28.0,12.0,11.0,10.0,30,0,0,0.0,1,1,1,12,11,6.0707379999999995
118,1188,40,105.0,28.0,12.0,11.0,7.0,30,1,0,0.0,1,3,1,12,10,7.080027
119,635,40,105.0,29.0,12.0,15.0,15.0,33,1,0,0.0,0,2,2,10,.,6.453625
120,1225,40,118.0,44.0,13.0,9.0,14.0,32,1,0,0.0,1,0,1,12,9,7.110696000000001
121,1151,45,90.0,38.0,12.0,19.0,19.0,36,1,0,0.0,1,1,1,12,8,7.048387
122,865,40,95.0,34.0,12.0,15.0,11.0,32,0,0,0.0,1,3,1,9,8,6.76273
123,1031,40,112.0,24.0,14.0,9.0,5.0,29,1,0,0.0,1,4,2,12,12,6.9382839999999995
124,1049,55,120.0,39.0,12.0,9.0,11.0,32,1,0,0.0,1,3,2,12,10,6.9555929999999995
125,1000,45,123.0,41.0,12.0,12.0,1.0,29,1,0,0.0,1,3,3,12,10,6.907755
126,1105,40,103.0,32.0,13.0,10.0,11.0,30,1,0,0.0,1,1,1,16,15,7.007600999999999
127,1924,50,121.0,40.0,18.0,11.0,7.0,35,1,0,0.0,1,3,1,16,18,7.562161
128,1346,40,90.0,44.0,16.0,9.0,16.0,38,1,0,0.0,1,1,1,12,12,7.204892999999999
129,809,65,125.0,32.0,12.0,11.0,10.0,29,1,0,0.0,1,0,1,12,12,6.695799000000001
130,1495,45,109.0,34.0,18.0,10.0,3.0,32,1,0,0.0,1,3,1,9,8,7.309882000000001
131,1346,50,,,,,,33,0,0,,0,3,1,10,,
132,1200,40,97.0,35.0,12.0,10.0,4.0,31,1,0,0.0,1,3,1,12,12,7.090077000000001
133,500,40,96.0,35.0,12.0,6.0,0.0,33,1,0,1.0,1,4,4,12,12,6.214608
134,1325,45,97.0,44.0,12.0,12.0,5.0,28,1,0,0.0,1,1,2,12,8,7.189168
135,900,40,78.0,21.0,12.0,16.0,5.0,33,1,1,0.0,1,4,1,7,6,6.802395
136,800,40,112.0,39.0,12.0,15.0,3.0,34,1,0,0.0,1,6,4,7,.,6.6846119999999996
137,800,40,88.0,32.0,12.0,16.0,7.0,38,1,0,0.0,1,3,2,2,5,6.6846119999999996
138,1034,40,97.0,39.0,12.0,15.0,16.0,36,1,0,0.0,1,14,10,14,11,6.94119
139,980,40,101.0,41.0,12.0,4.0,12.0,36,1,0,0.0,1,1,.,6,9,6.887553
140,884,40,106.0,42.0,10.0,19.0,12.0,34,1,0,0.0,1,2,1,7,10,6.784457000000001
141,480,40,59.0,28.0,10.0,11.0,5.0,34,0,0,0.0,1,0,1,8,6,6.173786
142,923,40,105.0,54.0,18.0,7.0,14.0,34,1,0,0.0,1,1,1,12,12,6.827628999999999
143,513,45,119.0,30.0,17.0,8.0,5.0,31,0,0,0.0,1,1,1,12,8,6.240276000000001
144,1105,40,93.0,36.0,11.0,17.0,16.0,37,0,0,0.0,1,2,2,8,8,7.007600999999999
145,1193,50,82.0,38.0,12.0,19.0,10.0,36,1,0,1.0,1,0,1,12,.,7.084227
146,2771,50,134.0,45.0,18.0,6.0,7.0,34,1,0,0.0,1,4,3,16,16,7.926963000000001
147,779,40,84.0,29.0,12.0,9.0,6.0,30,1,0,0.0,1,0,1,8,12,6.658011
148,950,60,98.0,36.0,11.0,13.0,6.0,31,1,0,0.0,1,2,1,12,12,6.856462
149,1394,40,118.0,41.0,16.0,11.0,8.0,30,1,0,0.0,0,2,1,13,12,7.239933000000001
150,1495,45,113.0,50.0,17.0,13.0,9.0,33,1,0,0.0,1,3,3,12,8,7.309882000000001
151,650,40,100.0,18.0,12.0,4.0,3.0,28,1,0,0.0,1,6,2,9,11,6.476973
152,670,40,93.0,27.0,13.0,9.0,5.0,29,1,0,0.0,1,2,.,12,12,6.507276999999999
153,1126,40,119.0,30.0,16.0,5.0,8.0,32,1,0,0.0,1,1,1,12,10,7.026427
154,450,64,67.0,19.0,12.0,11.0,1.0,33,0,1,0.0,1,6,1,11,4,6.109248
155,1028,40,111.0,28.0,12.0,19.0,12.0,37,1,1,1.0,1,3,4,12,.,6.93537
156,2404,50,106.0,38.0,15.0,8.0,0.0,32,1,0,0.0,1,2,1,12,12,7.784889
157,1899,40,127.0,49.0,18.0,9.0,14.0,36,0,0,0.0,1,0,1,10,.,7.549083
158,757,40,113.0,35.0,16.0,10.0,9.0,33,1,0,0.0,1,2,1,12,12,6.629363000000001
159,1250,40,115.0,36.0,14.0,9.0,1.0,29,1,0,0.0,1,2,2,12,12,7.130899
160,1162,48,102.0,40.0,16.0,8.0,11.0,31,1,0,0.0,1,3,2,12,.,7.057898
161,1025,40,85.0,29.0,15.0,9.0,13.0,29,1,1,0.0,1,6,1,14,12,6.932448
162,1100,50,117.0,51.0,16.0,11.0,12.0,32,1,0,0.0,0,0,1,12,10,7.0030660000000005
163,714,35,125.0,34.0,16.0,7.0,5.0,28,1,0,0.0,1,4,1,10,10,6.570883
164,1318,35,118.0,47.0,16.0,16.0,17.0,37,1,0,0.0,0,1,1,8,12,7.183871000000001
165,1411,45,121.0,40.0,18.0,14.0,3.0,38,1,0,0.0,1,3,2,12,16,7.252053999999999
166,2162,40,115.0,51.0,17.0,4.0,4.0,38,1,0,0.0,1,1,1,12,12,7.678789
167,1273,55,120.0,44.0,14.0,11.0,16.0,36,1,0,0.0,0,1,1,12,.,7.149132000000001
168,1140,48,109.0,43.0,12.0,16.0,15.0,35,1,0,0.0,1,2,2,11,6,7.038784
169,578,40,109.0,28.0,13.0,7.0,4.0,30,0,0,0.0,1,1,.,12,11,6.359573999999999
170,942,40,85.0,36.0,12.0,7.0,10.0,38,1,0,0.0,1,4,5,.,.,6.848005000000001
171,1058,40,85.0,50.0,12.0,17.0,8.0,38,1,0,0.0,0,4,1,12,.,6.964136
172,750,40,106.0,32.0,14.0,9.0,9.0,29,1,0,0.0,1,1,2,11,10,6.620073
173,1000,60,101.0,30.0,12.0,11.0,6.0,30,1,0,0.0,1,3,1,10,10,6.907755
174,951,60,116.0,40.0,12.0,9.0,7.0,30,1,0,0.0,1,4,5,12,9,6.857514
175,635,47,91.0,24.0,12.0,13.0,2.0,31,1,0,0.0,1,2,2,7,7,6.453625
176,1250,40,91.0,28.0,12.0,13.0,1.0,34,1,0,0.0,1,3,1,11,5,7.130899
177,675,40,110.0,34.0,12.0,6.0,15.0,34,1,0,0.0,1,2,1,7,.,6.5147129999999995
178,400,40,75.0,33.0,12.0,11.0,6.0,32,1,0,0.0,1,4,.,7,12,5.991465
179,577,50,94.0,17.0,12.0,9.0,8.0,29,1,0,0.0,1,2,.,12,8,6.357842
180,590,40,109.0,27.0,13.0,10.0,7.0,29,1,0,0.0,0,2,2,12,12,6.380123
181,923,50,122.0,38.0,16.0,10.0,10.0,31,1,0,0.0,0,1,2,8,8,6.827628999999999
182,1250,50,102.0,26.0,12.0,6.0,2.0,32,0,0,0.0,1,4,2,11,8,7.130899
183,1100,40,122.0,38.0,14.0,11.0,8.0,33,1,0,0.0,1,2,3,8,10,7.0030660000000005
184,1130,50,105.0,38.0,12.0,18.0,2.0,37,1,0,0.0,1,4,2,10,10,7.029973
185,652,50,113.0,37.0,12.0,14.0,4.0,36,0,0,0.0,1,1,2,9,9,6.480044
186,618,42,104.0,34.0,12.0,6.0,2.0,30,1,0,0.0,1,3,2,8,12,6.426488
187,962,50,124.0,43.0,16.0,7.0,14.0,34,1,0,0.0,1,2,2,9,11,6.869014
188,529,40,110.0,31.0,13.0,14.0,11.0,32,1,0,0.0,0,1,1,12,8,6.270988
189,817,40,95.0,37.0,12.0,16.0,14.0,33,1,0,0.0,0,2,1,12,12,6.705639
190,962,40,120.0,39.0,16.0,8.0,9.0,32,1,0,0.0,0,0,1,18,.,6.869014
191,840,40,105.0,39.0,12.0,19.0,15.0,38,1,0,0.0,0,3,1,12,8,6.733402000000001
192,866,40,121.0,30.0,16.0,7.0,4.0,28,1,0,0.0,0,1,.,12,12,6.763885
193,2404,50,96.0,42.0,14.0,1.0,1.0,36,1,0,0.0,1,5,5,8,10,7.784889
194,1126,40,110.0,26.0,12.0,16.0,2.0,32,1,0,0.0,1,6,1,9,12,7.026427
195,1160,40,92.0,32.0,12.0,8.0,8.0,31,1,0,0.0,0,4,1,12,11,7.056175
196,723,40,98.0,34.0,12.0,15.0,5.0,38,1,0,0.0,1,1,1,9,.,6.583409
197,1778,40,109.0,43.0,16.0,14.0,13.0,36,1,0,0.0,1,0,1,11,12,7.483244
198,1903,48,118.0,44.0,18.0,13.0,5.0,36,1,0,0.0,0,0,1,11,11,7.551187
199,1010,40,97.0,42.0,18.0,7.0,14.0,34,1,0,0.0,1,4,5,14,.,6.917706
200,971,40,95.0,42.0,17.0,5.0,11.0,37,1,0,0.0,1,1,2,16,8,6.8783259999999995
201,525,40,99.0,40.0,12.0,9.0,2.0,34,1,0,0.0,1,2,1,10,8,6.2633980000000005
202,525,40,106.0,31.0,12.0,12.0,13.0,30,1,0,0.0,0,1,1,10,12,6.2633980000000005
203,670,45,117.0,33.0,12.0,10.0,3.0,30,1,0,0.0,0,5,2,12,.,6.507276999999999
204,500,45,90.0,47.0,12.0,19.0,4.0,37,1,0,0.0,0,0,1,12,6,6.214608
205,1058,45,98.0,45.0,14.0,14.0,15.0,34,1,0,0.0,0,2,3,.,.,6.964136
206,550,46,95.0,44.0,12.0,18.0,15.0,35,1,0,0.0,1,1,1,12,11,6.309918
207,500,45,115.0,43.0,12.0,14.0,1.0,32,1,0,0.0,1,1,2,12,11,6.214608
208,727,55,106.0,40.0,15.0,10.0,5.0,31,0,0,0.0,1,1,.,12,12,6.588926
209,865,40,114.0,26.0,12.0,6.0,8.0,30,1,0,0.0,0,2,3,8,8,6.76273
210,1081,40,92.0,34.0,13.0,8.0,2.0,30,1,0,1.0,1,3,4,12,10,6.9856419999999995
211,1304,45,119.0,36.0,17.0,9.0,9.0,31,1,0,0.0,0,1,1,13,12,7.173192
212,575,40,85.0,32.0,13.0,6.0,1.0,30,1,0,0.0,0,1,2,13,12,6.354369999999999
213,623,45,98.0,34.0,16.0,7.0,1.0,30,1,0,0.0,0,3,1,12,12,6.434546
214,515,45,114.0,30.0,13.0,8.0,10.0,28,1,0,0.0,0,3,2,12,12,6.244167
215,1273,55,84.0,42.0,18.0,14.0,4.0,37,1,0,0.0,1,1,1,8,12,7.149132000000001
216,990,40,108.0,42.0,13.0,13.0,9.0,33,1,0,0.0,0,4,1,16,16,6.897705
217,600,40,107.0,32.0,12.0,16.0,6.0,33,1,0,0.0,0,5,6,8,4,6.39693
218,1160,40,84.0,35.0,12.0,17.0,2.0,38,1,0,0.0,0,4,2,16,12,7.056175
219,500,55,86.0,22.0,12.0,11.0,9.0,29,1,0,0.0,0,5,5,10,12,6.214608
220,795,45,88.0,27.0,12.0,17.0,18.0,35,1,0,0.0,0,2,2,10,12,6.678342
221,500,50,97.0,34.0,11.0,20.0,3.0,37,1,0,0.0,0,2,1,.,.,6.214608
222,740,50,84.0,31.0,10.0,23.0,13.0,38,1,0,0.0,0,5,1,.,9,6.60665
223,1250,40,117.0,45.0,16.0,10.0,7.0,33,1,0,0.0,1,1,1,12,14,7.130899
224,1014,55,110.0,42.0,16.0,13.0,9.0,30,0,0,0.0,1,1,2,12,14,6.921658
225,1250,32,104.0,32.0,13.0,13.0,3.0,33,1,0,0.0,1,3,3,9,.,7.130899
226,913,40,110.0,26.0,14.0,4.0,13.0,29,1,0,0.0,1,3,4,9,.,6.816736
227,1346,40,99.0,33.0,16.0,9.0,8.0,30,1,0,0.0,1,2,.,11,12,7.204892999999999
228,445,40,80.0,31.0,10.0,19.0,0.0,38,1,0,0.0,0,5,5,.,.,6.0980739999999996
229,265,40,101.0,43.0,12.0,18.0,2.0,37,1,0,0.0,1,1,2,.,.,5.5797300000000005
230,1250,40,117.0,31.0,14.0,7.0,1.0,28,1,0,0.0,1,1,2,12,12,7.130899
231,1607,56,108.0,41.0,13.0,7.0,9.0,36,1,0,0.0,1,2,1,.,.,7.382124
232,1452,35,69.0,33.0,16.0,12.0,15.0,38,1,1,0.0,1,7,6,10,10,7.280697
233,1391,50,109.0,38.0,12.0,14.0,8.0,32,1,1,1.0,1,1,2,11,9,7.237778
234,821,45,85.0,39.0,16.0,8.0,2.0,32,1,0,0.0,1,5,6,8,8,6.710522999999999
235,794,40,114.0,36.0,16.0,9.0,7.0,29,1,0,0.0,1,1,2,11,9,6.6770830000000005
236,500,30,90.0,46.0,13.0,10.0,1.0,38,1,0,0.0,0,4,3,.,.,6.214608
237,520,50,107.0,30.0,18.0,6.0,3.0,29,1,0,0.0,0,10,1,12,14,6.2538290000000005
238,1730,50,117.0,41.0,18.0,12.0,12.0,37,1,0,0.0,1,1,2,12,8,7.455877
239,1924,50,112.0,47.0,18.0,9.0,10.0,38,1,0,0.0,1,6,1,16,18,7.562161
240,1155,60,106.0,46.0,18.0,10.0,2.0,37,1,0,0.0,1,3,3,14,18,7.051856
241,2162,40,116.0,38.0,15.0,9.0,4.0,31,1,0,0.0,1,2,1,12,17,7.678789
242,923,50,123.0,44.0,14.0,8.0,7.0,31,1,0,0.0,1,1,2,8,.,6.827628999999999
243,1115,40,118.0,40.0,16.0,12.0,13.0,33,1,0,0.0,1,1,1,8,.,7.016610000000001
244,449,36,91.0,20.0,12.0,7.0,2.0,30,0,0,0.0,1,1,.,.,.,6.107023000000001
245,1500,40,103.0,29.0,12.0,10.0,11.0,34,1,0,0.0,1,2,3,12,7,7.313221
246,826,40,114.0,40.0,14.0,20.0,3.0,37,1,0,0.0,1,4,4,8,6,6.716595
247,937,40,102.0,36.0,12.0,16.0,8.0,35,1,0,0.0,1,3,2,12,6,6.842683
248,978,48,104.0,36.0,12.0,19.0,15.0,36,1,0,0.0,1,5,6,6,.,6.885509
249,1031,40,112.0,43.0,14.0,14.0,12.0,33,0,0,0.0,1,6,6,14,12,6.9382839999999995
250,1272,40,107.0,39.0,12.0,10.0,1.0,30,1,0,0.0,1,4,3,12,12,7.148346000000001
251,1136,50,117.0,36.0,14.0,16.0,12.0,34,1,0,1.0,1,2,3,12,12,7.035269
252,800,45,,,,,,36,1,0,,1,7,8,.,,
253,1339,38,96.0,42.0,12.0,8.0,9.0,33,1,0,0.0,1,0,1,12,11,7.199678
254,1063,40,90.0,38.0,12.0,14.0,12.0,32,1,1,0.0,1,2,2,8,12,6.968851
255,935,44,97.0,27.0,12.0,10.0,6.0,29,1,0,0.0,1,2,2,8,7,6.840547
256,808,40,99.0,40.0,12.0,18.0,13.0,38,1,1,0.0,1,0,1,9,8,6.6945619999999995
257,375,40,99.0,29.0,10.0,12.0,2.0,30,1,0,1.0,0,3,2,8,5,5.926926
258,537,40,97.0,32.0,12.0,14.0,8.0,31,0,1,0.0,1,2,1,11,.,6.285998
259,1082,55,95.0,40.0,12.0,11.0,4.0,29,1,1,0.0,1,2,2,11,.,6.986567
260,930,40,126.0,44.0,14.0,10.0,1.0,31,0,0,0.0,1,3,.,8,.,6.835185000000001
261,1155,40,,,,,,38,1,0,,0,3,3,12,,
262,548,40,86.0,22.0,11.0,7.0,0.0,33,1,1,0.0,1,5,2,11,.,6.306275
263,622,45,119.0,48.0,16.0,12.0,1.0,33,1,0,0.0,1,0,1,12,12,6.43294
